title,url,sentiment,sentiment_score
"EUR/USD Price Forecast: Gathers strength above 1.0800, bullish bias remains",https://www.fxstreet.com/news/eur-usd-price-forecast-gathers-strength-above-10800-bullish-bias-remains-202503240455,bullish,0.7686
EUR/USD rises to near 1.0850 ahead of PMI data from both economies,https://www.fxstreet.com/news/eur-usd-rises-to-near-10850-ahead-of-pmi-data-from-both-economies-202503240043,bullish,0.6
EUR/USD Price Analysis: Euro extends losses but 100-200 SMA crossover offers support,https://www.fxstreet.com/news/eur-usd-price-analysis-euro-extends-losses-but-100-200-sma-crossover-offers-support-202503211550,bullish,0.4497
"EUR/USD slumps on Eurozone economic risks, Fed's restrictive policy stance",https://www.fxstreet.com/news/eur-usd-drops-as-fed-sees-no-rush-for-monetary-policy-adjustments-202503211026,bearish,-0.2732
EUR drifts near range base – Scotiabank,https://www.fxstreet.com/news/eur-drifts-near-range-base-scotiabank-202503211323,neutral,0.0
EUR/USD may find good support at its 200-DMA – BBH,https://www.fxstreet.com/news/eur-usd-may-find-good-support-at-its-200-dma-bbh-202503211136,bullish,0.6808
EUR/USD to consolidate in the 1.08-1.09 range in the near term – Danske Bank,https://www.fxstreet.com/news/eur-usd-to-consolidate-in-the-108-109-range-in-the-near-term-danske-bank-202503211028,neutral,0.0
EUR/USD: Inability to overcome 1.0950 may lead to a pullback – Société Générale,https://www.fxstreet.com/news/eur-usd-inability-to-overcome-10950-may-lead-to-a-pullback-societe-generale-202503210957,bearish,-0.4019
EUR: Don't expect ECB guidance – ING,https://www.fxstreet.com/news/eur-dont-expect-ecb-guidance-ing-202503210926,neutral,0.0
EUR/USD Price Analysis: Falls toward 1.0800 after breaking below nine-day EMA,https://www.fxstreet.com/news/eur-usd-price-analysis-falls-toward-10800-after-breaking-below-nine-day-ema-202503210545,bearish,-0.6
"EUR/USD eases on Thursday, slipping below 1.0900 once again",https://www.fxstreet.com/news/eur-usd-eases-on-thursday-slipping-below-10900-once-again-202503202353,bullish,0.7272799999999999
EUR/USD Price Analysis: Sellers push further as correction deepens,https://www.fxstreet.com/news/eur-usd-price-analysis-sellers-push-further-as-correction-deepens-202503201539,neutral,0.0
EUR/USD weakens as Fed sees no rush for interest rate cuts,https://www.fxstreet.com/news/eur-usd-slumps-as-ecb-lagarde-warns-of-potential-eurozone-economic-shocks-202503200928,bearish,-0.76076
EUR/USD fails to move above 1.10 decisively – ING,https://www.fxstreet.com/news/eur-usd-fails-to-move-above-110-decisively-ing-202503200836,bearish,-0.4215
EUR/USD: Pace of gains moderate – OCBC,https://www.fxstreet.com/news/eur-usd-pace-of-gains-moderate-ocbc-202503200828,bullish,0.736
Lagarde speech: EU retaliatory measures and a weaker Euro could lift inflation by around 0.5%,https://www.fxstreet.com/news/lagarde-speech-eu-retaliatory-measures-and-a-weaker-euro-could-lift-inflation-by-around-05-202503200816,bearish,-0.4404
EUR/USD remains subdued around 1.0900 ahead of ECB’s Lagarde speech,https://www.fxstreet.com/news/eur-usd-remains-subdued-around-10900-ahead-of-ecbs-lagarde-speech-202503200512,neutral,0.0
