date,open,close,low,high,avg_simple,vwap,prev_vwap,trade_first_usd,trade_last_usd,trade_min_usd,trade_max_usd,trade_avg_usd,volume_usd,n_trades,is_trading_day
2014-12-06,,,,,,,,,,,,,,,False
2014-12-07,,,,,,,,,,,,,,,False
2014-12-08,535.16,535.3,535.0,535.3,535.16,535.18,535.19,125000.0,75000.0,1000.0,500000.0,56283.33,10131000.0,180.0,True
2014-12-09,535.0,535.1,534.65,535.9,535.09,535.11,535.18,50000.0,5000.0,1000.0,500000.0,86456.99,16081000.0,186.0,True
2014-12-10,534.05,534.9,534.05,535.1,534.9,534.92,535.11,1000.0,29000.0,1000.0,500000.0,96004.85,19777000.0,206.0,True
2014-12-11,534.5,534.78,534.5,534.8,534.77,534.77,534.92,40000.0,57000.0,1000.0,800000.0,142627.91,30665000.0,215.0,True
2014-12-12,537.0,534.56,534.52,537.0,534.58,534.57,534.77,70000.0,16000.0,1000.0,632000.0,108481.82,23866000.0,220.0,True
2014-12-13,,,,,,,,,,,,,,,False
2014-12-14,,,,,,,,,,,,,,,False
2014-12-15,533.5,534.4,533.5,534.5,534.39,534.4,534.57,1000.0,9000.0,1000.0,750000.0,129717.53,39953000.0,308.0,True
2014-12-16,533.75,534.28,533.75,534.5,534.25,534.25,534.4,1000.0,40000.0,1000.0,753000.0,129651.45,31246000.0,241.0,True
2014-12-17,532.26,534.33,532.26,534.33,534.19,534.21,534.25,1000.0,39000.0,1000.0,1000000.0,68520.47,11717000.0,171.0,True
2014-12-18,533.52,534.14,533.5,534.14,534.05,534.07,534.21,1000.0,50000.0,1000.0,700000.0,113388.43,27440000.0,242.0,True
2014-12-19,535.0,535.8,533.85,535.9,535.05,535.06,534.07,1000.0,14000.0,1000.0,345000.0,57686.81,10499000.0,182.0,True
2014-12-20,,,,,,,,,,,,,,,False
2014-12-21,,,,,,,,,,,,,,,False
2014-12-22,534.5,539.95,534.0,539.95,537.42,538.17,535.06,1000.0,25000.0,1000.0,559000.0,54604.74,13815000.0,253.0,True
2014-12-23,535.0,540.65,533.26,542.0,540.8,540.92,538.17,1000.0,50000.0,1000.0,1000000.0,174162.42,54687000.0,314.0,True
2014-12-24,537.0,539.51,536.0,544.0,539.77,540.03,540.92,1000.0,100000.0,1000.0,1000000.0,72462.37,6739000.0,93.0,True
2014-12-25,0.0,0.0,0.0,0.0,0.0,0.0,540.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2014-12-26,538.27,541.09,538.27,541.99,540.95,541.04,540.03,1000.0,2000.0,1000.0,500000.0,98454.55,9747000.0,99.0,True
2014-12-27,,,,,,,,,,,,,,,False
2014-12-28,,,,,,,,,,,,,,,False
2014-12-29,542.0,541.0,539.16,543.0,541.65,541.73,541.04,1000.0,1000.0,1000.0,300000.0,66566.04,7056000.0,106.0,True
2014-12-30,544.0,542.4,540.0,544.0,541.95,541.95,541.73,8000.0,150000.0,1000.0,384000.0,74049.18,9034000.0,122.0,True
2014-12-31,0.0,0.0,0.0,0.0,0.0,0.0,541.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,541.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2015-01-02,538.0,538.51,535.0,542.0,539.47,539.66,541.95,6000.0,1000.0,1000.0,250000.0,55831.78,5974000.0,107.0,True
2015-01-03,,,,,,,,,,,,,,,False
2015-01-04,,,,,,,,,,,,,,,False
2015-01-05,541.95,539.25,536.0,541.95,539.06,539.07,539.66,4000.0,32000.0,1000.0,999000.0,78401.1,14269000.0,182.0,True
2015-01-06,538.23,540.49,538.23,540.49,539.29,539.29,539.07,1000.0,1000.0,1000.0,300000.0,56941.8,10762000.0,189.0,True
2015-01-07,538.15,539.25,538.15,540.0,539.39,539.43,539.29,1000.0,18000.0,1000.0,500000.0,54161.54,7041000.0,130.0,True
2015-01-08,538.0,539.6,538.0,541.7,539.42,539.49,539.43,2000.0,250000.0,1000.0,400000.0,66924.53,10641000.0,159.0,True
2015-01-09,539.0,538.9,537.0,539.5,538.56,538.6,539.49,15000.0,100000.0,1000.0,300000.0,39811.02,5056000.0,127.0,True
2015-01-10,,,,,,,,,,,,,,,False
2015-01-11,,,,,,,,,,,,,,,False
2015-01-12,538.0,538.25,537.05,539.3,538.27,538.29,538.6,1000.0,39000.0,1000.0,500000.0,62729.32,8343000.0,133.0,True
2015-01-13,537.0,537.5,535.0,538.3,537.51,537.52,538.29,1000.0,100000.0,1000.0,500000.0,64514.29,11290000.0,175.0,True
2015-01-14,537.5,536.92,536.6,537.5,536.93,536.93,537.52,30000.0,5000.0,1000.0,500000.0,89809.35,24967000.0,278.0,True
2015-01-15,536.33,536.85,536.01,536.94,536.81,536.83,536.93,1000.0,7000.0,1000.0,1000000.0,136572.46,37694000.0,276.0,True
2015-01-16,536.26,536.0,536.0,536.7,536.45,536.46,536.83,1000.0,7000.0,1000.0,500000.0,87151.79,19522000.0,224.0,True
2015-01-17,,,,,,,,,,,,,,,False
2015-01-18,,,,,,,,,,,,,,,False
2015-01-19,536.45,536.9,536.1,537.0,536.46,536.48,536.46,1000.0,66000.0,1000.0,378000.0,49985.15,10097000.0,202.0,True
2015-01-20,536.0,536.84,535.0,537.5,536.97,537.03,536.48,1000.0,85000.0,1000.0,400000.0,64191.3,7382000.0,115.0,True
2015-01-21,536.85,536.5,536.5,537.75,537.04,537.08,537.03,13000.0,1000.0,1000.0,486000.0,48201.26,7664000.0,159.0,True
2015-01-22,536.78,536.15,536.0,537.25,536.91,536.92,537.08,25000.0,3000.0,1000.0,500000.0,43402.71,9592000.0,221.0,True
2015-01-23,536.27,536.35,535.61,536.9,536.49,536.52,536.92,63000.0,80000.0,1000.0,500000.0,37520.33,4615000.0,123.0,True
2015-01-24,,,,,,,,,,,,,,,False
2015-01-25,,,,,,,,,,,,,,,False
2015-01-26,535.15,536.85,535.15,536.89,536.63,536.69,536.52,2000.0,112000.0,1000.0,312000.0,61281.05,9376000.0,153.0,True
2015-01-27,536.1,537.0,536.1,537.75,537.07,537.09,536.69,50000.0,107000.0,1000.0,429000.0,80361.11,11572000.0,144.0,True
2015-01-28,536.0,537.25,534.0,537.5,537.16,537.18,537.09,15000.0,100000.0,1000.0,976000.0,72198.02,14584000.0,202.0,True
2015-01-29,537.0,538.1,537.0,538.3,537.93,537.96,537.18,1000.0,300000.0,1000.0,850000.0,85675.13,16878000.0,197.0,True
2015-01-30,536.0,537.3,532.0,540.0,539.2,539.5,537.96,46000.0,240000.0,1000.0,1000000.0,100538.46,33982000.0,338.0,True
2015-01-31,,,,,,,,,,,,,,,False
2015-02-01,,,,,,,,,,,,,,,False
2015-02-02,540.0,539.5,538.0,540.25,539.54,539.55,539.5,125000.0,83000.0,1000.0,500000.0,84373.63,15356000.0,182.0,True
2015-02-03,539.1,539.93,539.05,540.0,539.82,539.9,539.55,3000.0,53000.0,1000.0,277000.0,62422.82,9301000.0,149.0,True
2015-02-04,539.05,540.0,539.05,540.72,540.22,540.25,539.9,3000.0,1000.0,1000.0,500000.0,127940.64,28019000.0,219.0,True
2015-02-05,540.0,540.03,538.11,541.9,540.23,540.12,540.25,50000.0,25000.0,1000.0,1430000.0,128551.95,19797000.0,154.0,True
2015-02-06,541.0,538.81,538.0,541.0,539.14,539.1,540.12,30000.0,37000.0,1000.0,431000.0,50081.48,6761000.0,135.0,True
2015-02-07,,,,,,,,,,,,,,,False
2015-02-08,,,,,,,,,,,,,,,False
2015-02-09,538.86,539.81,536.25,540.1,539.64,539.84,539.1,3000.0,1000.0,1000.0,1091000.0,78111.8,12576000.0,161.0,True
2015-02-10,539.11,540.14,539.0,541.5,540.08,540.11,539.84,2000.0,200000.0,1000.0,400000.0,73333.33,7480000.0,102.0,True
2015-02-11,540.94,537.53,537.05,540.94,539.06,539.13,540.11,17000.0,48000.0,1000.0,225000.0,47083.33,3955000.0,84.0,True
2015-02-12,537.0,537.65,536.65,538.34,537.57,537.57,539.13,35000.0,38000.0,1000.0,500000.0,80004.42,18081000.0,226.0,True
2015-02-13,536.3,537.05,536.25,537.85,537.03,537.04,537.57,40000.0,4000.0,1000.0,600000.0,52814.98,11989000.0,227.0,True
2015-02-14,,,,,,,,,,,,,,,False
2015-02-15,,,,,,,,,,,,,,,False
2015-02-16,537.9,536.7,536.3,538.0,536.88,536.86,537.04,4000.0,100000.0,1000.0,370000.0,47625.95,6239000.0,131.0,True
2015-02-17,539.75,535.99,533.0,539.75,536.49,536.35,536.86,2000.0,18000.0,1000.0,752000.0,56532.79,6897000.0,122.0,True
2015-02-18,535.0,536.5,534.0,536.85,536.2,536.27,536.35,5000.0,250000.0,1000.0,399000.0,62299.4,10404000.0,167.0,True
2015-02-19,535.6,536.45,535.0,537.0,536.39,536.41,536.27,2000.0,81000.0,1000.0,500000.0,44829.79,6321000.0,141.0,True
2015-02-20,537.0,536.0,535.0,538.9,536.49,536.31,536.41,10000.0,2000.0,1000.0,1000000.0,73224.49,17940000.0,245.0,True
2015-02-21,,,,,,,,,,,,,,,False
2015-02-22,,,,,,,,,,,,,,,False
2015-02-23,536.0,535.9,535.0,536.5,535.97,535.99,536.31,10000.0,39000.0,1000.0,594000.0,90617.28,14680000.0,162.0,True
2015-02-24,535.5,535.35,534.01,536.0,535.41,535.38,535.99,2000.0,200000.0,1000.0,400000.0,68638.3,12904000.0,188.0,True
2015-02-25,535.0,535.55,534.7,536.0,535.42,535.53,535.38,8000.0,5000.0,1000.0,500000.0,60320.69,17493000.0,290.0,True
2015-02-26,535.5,535.6,535.05,535.95,535.72,535.74,535.53,1000.0,80000.0,1000.0,500000.0,91594.71,20792000.0,227.0,True
2015-02-27,535.75,535.0,535.0,536.0,535.53,535.52,535.74,1000.0,4000.0,1000.0,500000.0,102384.06,42387000.0,414.0,True
2015-02-28,,,,,,,,,,,,,,,False
2015-03-01,,,,,,,,,,,,,,,False
2015-03-02,535.0,535.0,535.0,536.0,535.67,535.7,535.52,15000.0,115000.0,1000.0,1000000.0,36405.26,6917000.0,190.0,True
2015-03-03,535.99,535.56,533.3,535.99,535.51,535.52,535.7,3000.0,3000.0,1000.0,275000.0,61144.44,11006000.0,180.0,True
2015-03-04,535.15,535.55,535.0,535.9,535.53,535.58,535.52,250000.0,1000.0,1000.0,360000.0,67195.02,16194000.0,241.0,True
2015-03-05,535.4,535.55,535.4,536.2,535.93,535.97,535.58,20000.0,1000.0,1000.0,500000.0,106239.77,18167000.0,171.0,True
2015-03-06,536.25,536.0,535.75,536.39,536.06,536.07,535.97,3000.0,93000.0,1000.0,415000.0,72218.91,14516000.0,201.0,True
2015-03-07,,,,,,,,,,,,,,,False
2015-03-08,,,,,,,,,,,,,,,False
2015-03-09,535.6,535.5,535.12,536.1,535.84,535.86,536.07,1000.0,6000.0,1000.0,500000.0,77659.22,13901000.0,179.0,True
2015-03-10,535.0,535.3,534.5,536.0,535.27,535.27,535.86,27000.0,21000.0,1000.0,385000.0,80025.53,18806000.0,235.0,True
2015-03-11,535.0,534.38,533.5,535.45,534.62,534.54,535.27,4000.0,22000.0,1000.0,1000000.0,149157.58,24611000.0,165.0,True
2015-03-12,533.26,534.08,533.26,534.1,534.05,534.08,534.54,1000.0,421000.0,1000.0,800000.0,137300.0,37071000.0,270.0,True
2015-03-13,533.6,533.53,533.25,534.15,533.54,533.53,534.08,3000.0,1000.0,1000.0,1350000.0,167708.17,43101000.0,257.0,True
2015-03-14,,,,,,,,,,,,,,,False
2015-03-15,,,,,,,,,,,,,,,False
2015-03-16,533.1,532.98,532.5,533.5,533.12,533.09,533.53,99000.0,143000.0,1000.0,596000.0,114247.83,26277000.0,230.0,True
2015-03-17,533.45,532.9,532.55,533.45,532.96,532.97,533.09,38000.0,150000.0,1000.0,450000.0,92521.55,21465000.0,232.0,True
2015-03-18,532.95,532.5,532.5,533.15,532.97,533.0,532.97,10000.0,16000.0,1000.0,350000.0,76538.04,14083000.0,184.0,True
2015-03-19,533.0,532.5,531.0,533.0,532.51,532.5,533.0,38000.0,189000.0,1000.0,1000000.0,100552.3,24032000.0,239.0,True
2015-03-20,530.5,533.4,530.5,533.75,533.15,533.25,532.5,1000.0,175000.0,1000.0,350000.0,74386.05,15993000.0,215.0,True
2015-03-21,,,,,,,,,,,,,,,False
2015-03-22,,,,,,,,,,,,,,,False
2015-03-23,533.0,533.7,533.0,533.9,533.68,533.71,533.25,1000.0,200000.0,1000.0,800000.0,77297.41,17933000.0,232.0,True
2015-03-24,534.0,534.0,533.55,534.45,534.06,534.07,533.71,200000.0,106000.0,1000.0,350000.0,71072.22,12793000.0,180.0,True
2015-03-25,532.01,534.85,532.01,534.9,534.51,534.51,534.07,1000.0,30000.0,1000.0,429000.0,100570.59,17097000.0,170.0,True
2015-03-26,534.0,534.5,534.0,535.15,534.38,534.37,534.51,6000.0,80000.0,1000.0,500000.0,86873.36,19894000.0,229.0,True
2015-03-27,534.0,534.8,534.0,534.9,534.67,534.68,534.37,6000.0,112000.0,1000.0,450000.0,88287.13,26751000.0,303.0,True
2015-03-28,,,,,,,,,,,,,,,False
2015-03-29,,,,,,,,,,,,,,,False
2015-03-30,533.0,533.51,530.0,536.25,534.74,534.76,534.68,16000.0,38000.0,1000.0,300000.0,70777.17,13023000.0,184.0,True
2015-03-31,532.0,534.02,532.0,535.0,534.11,534.13,534.76,2000.0,100000.0,1000.0,300000.0,73846.15,17280000.0,234.0,True
2015-04-01,534.35,533.7,533.25,534.35,533.8,533.81,534.13,1000.0,10000.0,1000.0,798000.0,67332.2,19863000.0,295.0,True
2015-04-02,0.0,0.0,0.0,0.0,0.0,0.0,533.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2015-04-03,0.0,0.0,0.0,0.0,0.0,0.0,533.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2015-04-04,,,,,,,,,,,,,,,False
2015-04-05,,,,,,,,,,,,,,,False
2015-04-06,533.5,533.5,532.06,533.6,533.38,533.39,533.81,100000.0,30000.0,1000.0,1000000.0,93526.32,23101000.0,247.0,True
2015-04-07,533.0,533.95,533.0,534.3,533.92,533.99,533.39,33000.0,1000.0,1000.0,370000.0,76206.73,15851000.0,208.0,True
2015-04-08,534.0,533.6,532.75,534.35,533.74,533.82,533.99,200000.0,57000.0,1000.0,1500000.0,70728.35,17965000.0,254.0,True
2015-04-09,534.0,533.82,533.1,534.1,533.74,533.74,533.82,1000.0,1000.0,1000.0,1000000.0,78264.86,14479000.0,185.0,True
2015-04-10,533.0,533.25,533.0,533.8,533.47,533.51,533.74,1000.0,56000.0,1000.0,280000.0,70242.29,15945000.0,227.0,True
2015-04-11,,,,,,,,,,,,,,,False
2015-04-12,,,,,,,,,,,,,,,False
2015-04-13,532.55,533.3,532.5,533.95,533.12,533.14,533.51,2000.0,85000.0,1000.0,350000.0,75815.26,18878000.0,249.0,True
2015-04-14,532.85,533.15,532.0,533.8,533.47,533.52,533.14,1000.0,72000.0,1000.0,385000.0,80957.98,19268000.0,238.0,True
2015-04-15,532.5,532.15,531.0,533.5,532.44,532.38,533.52,1000.0,11000.0,1000.0,1000000.0,112135.45,38911000.0,347.0,True
2015-04-16,531.0,531.8,531.0,532.85,531.8,531.81,532.38,1000.0,55000.0,1000.0,750000.0,68541.81,20494000.0,299.0,True
2015-04-17,531.0,531.55,530.85,532.9,531.92,531.97,531.81,1000.0,1000.0,1000.0,500000.0,73437.85,25997000.0,354.0,True
2015-04-18,,,,,,,,,,,,,,,False
2015-04-19,,,,,,,,,,,,,,,False
2015-04-20,532.4,533.7,531.65,533.85,533.38,533.43,531.97,5000.0,5000.0,1000.0,319000.0,76263.74,20820000.0,273.0,True
2015-04-21,534.5,533.41,533.3,535.45,533.96,533.98,533.43,5000.0,1000.0,1000.0,500000.0,84072.16,16310000.0,194.0,True
2015-04-22,534.0,533.75,533.0,534.25,534.07,534.08,533.98,40000.0,150000.0,1000.0,498000.0,79623.71,15447000.0,194.0,True
2015-04-23,534.02,533.5,533.5,534.45,534.14,534.14,534.08,40000.0,1000.0,1000.0,500000.0,80584.91,21355000.0,265.0,True
2015-04-24,530.5,534.15,527.0,537.0,534.16,534.19,534.14,1000.0,154000.0,1000.0,491000.0,72268.71,21247000.0,294.0,True
2015-04-25,,,,,,,,,,,,,,,False
2015-04-26,,,,,,,,,,,,,,,False
2015-04-27,533.55,534.55,533.5,534.55,534.26,534.25,534.19,30000.0,1000.0,1000.0,450000.0,80392.74,24359000.0,303.0,True
2015-04-28,535.0,534.3,534.0,535.0,534.32,534.26,534.25,200000.0,55000.0,1000.0,300000.0,88751.72,12869000.0,145.0,True
2015-04-29,533.5,534.0,533.5,534.6,534.34,534.38,534.26,23000.0,100000.0,1000.0,450000.0,88404.26,20775000.0,235.0,True
2015-04-30,534.75,534.2,533.5,534.75,534.32,534.32,534.38,1000.0,23000.0,1000.0,600000.0,81430.23,21009000.0,258.0,True
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0,534.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2015-05-02,,,,,,,,,,,,,,,False
2015-05-03,,,,,,,,,,,,,,,False
2015-05-04,534.0,534.51,534.0,534.75,534.53,534.52,534.32,4000.0,2000.0,1000.0,500000.0,56627.91,9740000.0,172.0,True
2015-05-05,534.95,534.8,534.3,536.0,534.74,534.74,534.52,2000.0,6000.0,1000.0,425000.0,84219.65,14570000.0,173.0,True
2015-05-06,534.25,534.7,534.1,535.0,534.65,534.67,534.74,20000.0,34000.0,1000.0,500000.0,101297.71,13270000.0,131.0,True
2015-05-07,534.5,534.9,534.5,535.25,534.92,534.95,534.67,1000.0,28000.0,1000.0,500000.0,84526.04,16229000.0,192.0,True
2015-05-08,534.89,534.6,534.5,537.0,534.8,534.79,534.95,5000.0,2000.0,1000.0,550000.0,72477.97,21381000.0,295.0,True
2015-05-09,,,,,,,,,,,,,,,False
2015-05-10,,,,,,,,,,,,,,,False
2015-05-11,533.51,535.1,533.51,535.25,535.02,535.06,534.79,1000.0,150000.0,1000.0,500000.0,67782.22,15251000.0,225.0,True
2015-05-12,535.2,535.15,534.55,535.75,535.15,535.15,535.06,10000.0,20000.0,1000.0,1000000.0,81786.67,12268000.0,150.0,True
2015-05-13,534.0,534.9,534.0,535.75,535.02,535.04,535.15,1000.0,5000.0,1000.0,499000.0,79926.47,16305000.0,204.0,True
2015-05-14,534.01,534.4,530.0,535.15,534.72,534.76,535.04,7000.0,10000.0,1000.0,500000.0,102382.11,25186000.0,246.0,True
2015-05-15,533.76,534.85,533.76,534.85,534.62,534.63,534.76,1000.0,40000.0,1000.0,620000.0,120870.5,33602000.0,278.0,True
2015-05-16,,,,,,,,,,,,,,,False
2015-05-17,,,,,,,,,,,,,,,False
